,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE,CLARENDON_ROW
01:48:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,34,22,10,5,13,10,24,9,18,7,5,0,4,20
01:50:08,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,34,22,10,5,13,10,24,9,18,7,5,0,4,20
01:52:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,34,22,10,5,13,10,24,9,18,7,5,0,4,20
01:54:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,34,22,10,5,13,10,24,9,18,7,5,0,4,20
01:56:08,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,34,22,10,5,13,10,24,9,18,7,5,0,4,20
01:58:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,34,22,10,5,13,10,24,9,18,7,5,0,4,20
02:00:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,34,22,10,5,13,10,24,9,18,7,5,0,4,20
02:02:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,34,22,10,5,13,10,24,9,18,7,5,0,4,20
02:04:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:06:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:08:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:10:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:12:08,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:14:08,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:16:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:18:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:20:08,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:22:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:24:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:26:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:28:08,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:30:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:32:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:34:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:36:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:38:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:40:08,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:42:08,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:44:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:46:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:48:08,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:50:08,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:52:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:54:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:56:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
02:58:08,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:00:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:02:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:04:08,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:06:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:08:08,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:10:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:12:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:14:08,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:16:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:18:08,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:20:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:22:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:24:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:26:08,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:28:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:30:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:32:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:34:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:36:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:38:08,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:40:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:42:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:44:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
03:46:09,9,2,3,30,30,21,29,5,17,17,28,19,19,27,4,0,28,21,2,11,16,10,0,30,16,3,10,27,22,12,5,30,2,20,12,15,18,33,2,25,0,20,10,10,23,29,24,13,25,5,5,17,38,20,12,17,2,4,8,7,2,13,8,7,0,13,6,20,17,10,32,1,15,28,10,18,3,9,10,16,18,12,5,7,21,13,23,35,22,10,5,13,10,24,9,18,7,5,0,4,20
